REF_AREA,REF_AREA_LABEL,TIME_PERIOD,OBS_VALUE
MLI,Mali,2024,1
MLI,Mali,2021,1
MLI,Mali,2019,1
GTM,Guatemala,2019,2.6
CIV,Cote d'Ivoire,2024,2.8
CIV,Cote d'Ivoire,2021,2.8
CIV,Cote d'Ivoire,2019,2.8
NPL,Nepal,2024,3
NPL,Nepal,2021,3
NPL,Nepal,2019,3
GTM,Guatemala,2024,4.4
GTM,Guatemala,2021,4.4
IND,India,2019,4.8
BEN,Benin,2024,5
BEN,Benin,2021,5
BEN,Benin,2019,5
IND,India,2024,5.3
IND,India,2021,5.3
PAK,Pakistan,2024,6.3
PAK,Pakistan,2021,6.3
PAK,Pakistan,2019,6.3
HND,Honduras,2024,6.4
HND,Honduras,2021,6.4
HND,Honduras,2019,6.4
TZA,Tanzania,2024,7
TZA,Tanzania,2021,7
TZA,Tanzania,2019,7
BGD,Bangladesh,2024,7.9
BGD,Bangladesh,2021,7.9
BGD,Bangladesh,2019,7.9
NGA,Nigeria,2024,8
NGA,Nigeria,2021,8
NGA,Nigeria,2019,8
PRY,Paraguay,2024,8.3
PRY,Paraguay,2021,8.3
PRY,Paraguay,2019,8.3
VEN,"Venezuela, RB",2019,8.6
VEN,"Venezuela, RB",2024,8.7
VEN,"Venezuela, RB",2021,8.7
KHM,Cambodia,2024,9
KHM,Cambodia,2021,9
KHM,Cambodia,2019,9
GHA,Ghana,2024,9
GHA,Ghana,2021,9
GHA,Ghana,2019,9
NIC,Nicaragua,2024,9.3
NIC,Nicaragua,2021,9.3
NIC,Nicaragua,2019,9.3
MEX,Mexico,2024,9.8
MEX,Mexico,2021,9.8
IDN,Indonesia,2019,9.9
PHL,Philippines,2024,9.9
PHL,Philippines,2021,9.9
PHL,Philippines,2019,9.9
MEX,Mexico,2019,10
MAR,Morocco,2024,10
MAR,Morocco,2021,10
IDN,Indonesia,2024,10.4
IDN,Indonesia,2021,10.4
SLV,El Salvador,2019,10.6
CRI,Costa Rica,2024,11
CRI,Costa Rica,2021,11
MAR,Morocco,2019,11
CRI,Costa Rica,2019,11.4
SLV,El Salvador,2024,12
SLV,El Salvador,2021,12
QAT,Qatar,2019,12
QAT,Qatar,2024,12.5
QAT,Qatar,2021,12.5
BOL,Bolivia,2019,12.7
BOL,Bolivia,2024,12.9
BOL,Bolivia,2021,12.9
CMR,Cameroon,2024,13
CMR,Cameroon,2021,13
CMR,Cameroon,2019,13
MWI,Malawi,2024,13
MWI,Malawi,2021,13
MWI,Malawi,2019,13
ARE,United Arab Emirates,2019,13.6
ARE,United Arab Emirates,2024,13.8
ARE,United Arab Emirates,2021,13.8
ECU,Ecuador,2024,13.9
ECU,Ecuador,2021,13.9
ECU,Ecuador,2019,13.9
JOR,Jordan,2019,14
KEN,Kenya,2024,14
KEN,Kenya,2021,14
KEN,Kenya,2019,14
EGY,"Egypt, Arab Rep.",2024,14.3
EGY,"Egypt, Arab Rep.",2021,14.3
EGY,"Egypt, Arab Rep.",2019,14.3
DOM,Dominican Republic,2019,14.4
JOR,Jordan,2024,14.7
JOR,Jordan,2021,14.7
OMN,Oman,2024,14.7
OMN,Oman,2021,14.7
OMN,Oman,2019,14.9
LAO,Lao PDR,2024,15
LAO,Lao PDR,2021,15
LAO,Lao PDR,2019,15
DOM,Dominican Republic,2024,15.6
DOM,Dominican Republic,2021,15.6
IRN,"Iran, Islamic Rep.",2024,15.6
IRN,"Iran, Islamic Rep.",2021,15.6
PER,Peru,2024,15.9
PER,Peru,2021,15.9
PER,Peru,2019,15.9
MYS,Malaysia,2019,16.2
COL,Colombia,2019,16.8
IRN,"Iran, Islamic Rep.",2019,17
ZWE,Zimbabwe,2024,17
ZWE,Zimbabwe,2021,17
ZWE,Zimbabwe,2019,17
COL,Colombia,2024,17.1
COL,Colombia,2021,17.1
JAM,Jamaica,2024,17.2
JAM,Jamaica,2021,17.2
BHR,Bahrain,2024,17.4
BHR,Bahrain,2021,17.4
JAM,Jamaica,2019,17.8
BWA,Botswana,2024,18
BWA,Botswana,2021,18
BWA,Botswana,2019,18
MYS,Malaysia,2024,18.8
MYS,Malaysia,2021,18.8
BHR,Bahrain,2019,18.9
RWA,Rwanda,2024,18.98
RWA,Rwanda,2021,18.98
RWA,Rwanda,2019,18.98
DZA,Algeria,2024,19
DZA,Algeria,2021,19
DZA,Algeria,2019,19
ZMB,Zambia,2024,20
ZMB,Zambia,2021,20
ZMB,Zambia,2019,20
KWT,Kuwait,2024,20.4
KWT,Kuwait,2021,20.4
KWT,Kuwait,2019,20.4
CHL,Chile,2024,20.6
CHL,Chile,2021,20.6
BRA,Brazil,2024,20.9
BRA,Brazil,2021,20.9
THA,Thailand,2024,21
THA,Thailand,2021,21
THA,Thailand,2019,21
BRA,Brazil,2019,21.1
CHL,Chile,2019,21.2
SWE,Sweden,2024,21.4
SWE,Sweden,2021,21.4
TUN,Tunisia,2024,21.8
TUN,Tunisia,2021,21.8
TUN,Tunisia,2019,21.8
SAU,Saudi Arabia,2019,22.3
SAU,Saudi Arabia,2024,22.4
SAU,Saudi Arabia,2021,22.4
PAN,Panama,2024,22.5
PAN,Panama,2021,22.5
PAN,Panama,2019,22.5
ZAF,South Africa,2024,23
ZAF,South Africa,2021,23
ZAF,South Africa,2019,23
SWE,Sweden,2019,23.4
URY,Uruguay,2024,24.3
URY,Uruguay,2021,24.3
GBR,United Kingdom,2024,24.6
GBR,United Kingdom,2021,24.6
SGP,Singapore,2019,24.8
URY,Uruguay,2019,24.8
SGP,Singapore,2024,24.9
SGP,Singapore,2021,24.9
CAN,Canada,2024,25.2
CAN,Canada,2021,25.2
CAN,Canada,2019,25.3
GBR,United Kingdom,2019,25.4
NZL,New Zealand,2024,25.7
NZL,New Zealand,2021,25.7
DNK,Denmark,2024,26
DNK,Denmark,2021,26
VNM,Viet Nam,2024,26
VNM,Viet Nam,2021,26
VNM,Viet Nam,2019,26
DNK,Denmark,2019,26.1
LBN,Lebanon,2024,27.3
LBN,Lebanon,2021,27.3
LBN,Lebanon,2019,27.3
NZL,New Zealand,2019,27.3
TUR,Turkiye,2019,27.5
