"REF_AREA_LABEL","INDICATOR_LABEL","COMP_BREAKDOWN_1_LABEL","TIME_PERIOD","OBS_VALUE"
"Albania","Hospital beds density per 10,000 pop","Type: Value",2024,28.9
"Albania","Hospital beds density per 10,000 pop","Type: Score",2024,3.40833333333333
"Albania","Hospital beds density per 10,000 pop","Type: Rank",2024,49
"Albania","Hospital beds density per 10,000 pop","Type: Value",2021,28.9
"Albania","Hospital beds density per 10,000 pop","Type: Score",2021,3.40833333333333
"Albania","Hospital beds density per 10,000 pop","Type: Rank",2021,49
"Albania","Hospital beds density per 10,000 pop","Type: Value",2019,28.9
"Albania","Hospital beds density per 10,000 pop","Type: Score",2019,3.40833333333333
"Albania","Hospital beds density per 10,000 pop","Type: Rank",2019,50
"Algeria","Hospital beds density per 10,000 pop","Type: Value",2024,19
"Algeria","Hospital beds density per 10,000 pop","Type: Score",2024,2.58333333333333
"Algeria","Hospital beds density per 10,000 pop","Type: Rank",2024,74
"Algeria","Hospital beds density per 10,000 pop","Type: Value",2021,19
"Algeria","Hospital beds density per 10,000 pop","Type: Score",2021,2.58333333333333
"Algeria","Hospital beds density per 10,000 pop","Type: Rank",2021,74
"Algeria","Hospital beds density per 10,000 pop","Type: Value",2019,19
"Algeria","Hospital beds density per 10,000 pop","Type: Score",2019,2.58333333333333
"Algeria","Hospital beds density per 10,000 pop","Type: Rank",2019,74
"Angola","Hospital beds density per 10,000 pop","Type: Value",2024,NA
"Angola","Hospital beds density per 10,000 pop","Type: Score",2024,NA
"Angola","Hospital beds density per 10,000 pop","Type: Rank",2024,73
"Angola","Hospital beds density per 10,000 pop","Type: Value",2021,NA
"Angola","Hospital beds density per 10,000 pop","Type: Score",2021,NA
"Angola","Hospital beds density per 10,000 pop","Type: Rank",2021,73
"Angola","Hospital beds density per 10,000 pop","Type: Value",2019,NA
"Angola","Hospital beds density per 10,000 pop","Type: Score",2019,NA
"Angola","Hospital beds density per 10,000 pop","Type: Rank",2019,73
"Argentina","Hospital beds density per 10,000 pop","Type: Value",2024,49.9
"Argentina","Hospital beds density per 10,000 pop","Type: Score",2024,5.15833333333333
"Argentina","Hospital beds density per 10,000 pop","Type: Rank",2024,21
"Argentina","Hospital beds density per 10,000 pop","Type: Value",2021,49.9
"Argentina","Hospital beds density per 10,000 pop","Type: Score",2021,5.15833333333333
"Argentina","Hospital beds density per 10,000 pop","Type: Rank",2021,21
"Argentina","Hospital beds density per 10,000 pop","Type: Value",2019,49.5
"Argentina","Hospital beds density per 10,000 pop","Type: Score",2019,5.125
"Argentina","Hospital beds density per 10,000 pop","Type: Rank",2019,21
"Armenia","Hospital beds density per 10,000 pop","Type: Value",2024,42
"Armenia","Hospital beds density per 10,000 pop","Type: Score",2024,4.5
"Armenia","Hospital beds density per 10,000 pop","Type: Rank",2024,32
"Armenia","Hospital beds density per 10,000 pop","Type: Value",2021,42
"Armenia","Hospital beds density per 10,000 pop","Type: Score",2021,4.5
"Armenia","Hospital beds density per 10,000 pop","Type: Rank",2021,32
"Armenia","Hospital beds density per 10,000 pop","Type: Value",2019,42
"Armenia","Hospital beds density per 10,000 pop","Type: Score",2019,4.5
"Armenia","Hospital beds density per 10,000 pop","Type: Rank",2019,31
"Australia","Hospital beds density per 10,000 pop","Type: Value",2024,38.4
"Australia","Hospital beds density per 10,000 pop","Type: Score",2024,4.2
"Australia","Hospital beds density per 10,000 pop","Type: Rank",2024,37
"Australia","Hospital beds density per 10,000 pop","Type: Value",2021,38.4
"Australia","Hospital beds density per 10,000 pop","Type: Score",2021,4.2
"Australia","Hospital beds density per 10,000 pop","Type: Rank",2021,37
"Australia","Hospital beds density per 10,000 pop","Type: Value",2019,38.4
"Australia","Hospital beds density per 10,000 pop","Type: Score",2019,4.2
"Australia","Hospital beds density per 10,000 pop","Type: Rank",2019,38
"Austria","Hospital beds density per 10,000 pop","Type: Value",2024,72.7
"Austria","Hospital beds density per 10,000 pop","Type: Score",2024,7
"Austria","Hospital beds density per 10,000 pop","Type: Rank",2024,6
"Austria","Hospital beds density per 10,000 pop","Type: Value",2021,72.7
"Austria","Hospital beds density per 10,000 pop","Type: Score",2021,7
"Austria","Hospital beds density per 10,000 pop","Type: Rank",2021,6
"Austria","Hospital beds density per 10,000 pop","Type: Value",2019,74.2
"Austria","Hospital beds density per 10,000 pop","Type: Score",2019,7
"Austria","Hospital beds density per 10,000 pop","Type: Rank",2019,4
"Azerbaijan","Hospital beds density per 10,000 pop","Type: Value",2024,48.2
"Azerbaijan","Hospital beds density per 10,000 pop","Type: Score",2024,5.01666666666667
"Azerbaijan","Hospital beds density per 10,000 pop","Type: Rank",2024,22
"Azerbaijan","Hospital beds density per 10,000 pop","Type: Value",2021,48.2
"Azerbaijan","Hospital beds density per 10,000 pop","Type: Score",2021,5.01666666666667
"Azerbaijan","Hospital beds density per 10,000 pop","Type: Rank",2021,22
"Azerbaijan","Hospital beds density per 10,000 pop","Type: Value",2019,48.2
"Azerbaijan","Hospital beds density per 10,000 pop","Type: Score",2019,5.01666666666667
"Azerbaijan","Hospital beds density per 10,000 pop","Type: Rank",2019,22
"Bahrain","Hospital beds density per 10,000 pop","Type: Value",2024,17.4
"Bahrain","Hospital beds density per 10,000 pop","Type: Score",2024,2.45
"Bahrain","Hospital beds density per 10,000 pop","Type: Rank",2024,78
"Bahrain","Hospital beds density per 10,000 pop","Type: Value",2021,17.4
"Bahrain","Hospital beds density per 10,000 pop","Type: Score",2021,2.45
