"REF_AREA_LABEL","INDICATOR_LABEL","COMP_BREAKDOWN_1_LABEL","TIME_PERIOD","OBS_VALUE","UNIT_MEASURE_LABEL"
"Albania","Government expenditure on health","Sector: Local government",2012,0.0066303474919227,"Percentage of GDP"
"Afghanistan","Government expenditure on health","Sector: Central government (incl. social security funds)",2009,13496776748.4542,"Domestic currency"
"Albania","Government expenditure on health","Sector: Local government",1997,0.559885679843998,"Percentage of GDP"
"Afghanistan","Government expenditure on health","Sector: Central government (excl. social security)",2006,4.797e+09,"Domestic currency"
"Afghanistan","Government expenditure on health","Sector: Budgetary central government",2008,4.59438586243517,"Percentage of expenditure"
"Afghanistan","Government expenditure on health","Sector: Local government",2014,0,"Domestic currency"
"Albania","Government expenditure on health","Sector: Budgetary central government",1997,3933978000,"Domestic currency"
"Afghanistan","Government expenditure on health","Sector: Budgetary central government",2005,2202688343.61,"Domestic currency"
"Albania","Government expenditure on health","Sector: Extrabudgetary central government",1996,0,"Domestic currency"
"Angola","Government expenditure on health","Sector: Budgetary central government",1999,249675892.4,"Domestic currency"
"Angola","Government expenditure on health","Sector: Budgetary central government",2005,38233614788,"Domestic currency"
"Albania","Government expenditure on health","Sector: Local government",2012,88370000,"Domestic currency"
"Albania","Government expenditure on health","Sector: Local government",1996,0.535502059024753,"Percentage of GDP"
"Afghanistan","Government expenditure on health","Sector: Central government (incl. social security funds)",2012,3.25511347105745,"Percentage of expenditure"
"Afghanistan","Government expenditure on health","Sector: Budgetary central government",2012,3.4824213708791,"Percentage of expenditure"
"Albania","Government expenditure on health","Sector: Extrabudgetary central government",1998,0,"Domestic currency"
"Albania","Government expenditure on health","Sector: Central government (incl. social security funds)",1995,3.908e+09,"Domestic currency"
"Angola","Government expenditure on health","Sector: Budgetary central government",2005,4.99832203877745,"Percentage of expenditure"
"Albania","Government expenditure on health","Sector: Central government (incl. social security funds)",1998,5216530000,"Domestic currency"
"Albania","Government expenditure on health","Sector: Local government",1998,2187607000,"Domestic currency"
"Albania","Government expenditure on health","Sector: Local government",2013,44130000,"Domestic currency"
"Albania","Government expenditure on health","Sector: Central government (incl. social security funds)",2012,2.80714972346721,"Percentage of GDP"
"Afghanistan","Government expenditure on health","Sector: Central government (excl. social security)",2009,13496776748.4542,"Domestic currency"
"Afghanistan","Government expenditure on health","Sector: General government",2007,6.15589888485298,"Percentage of expenditure"
"Afghanistan","Government expenditure on health","Sector: Local government",2010,0,"Percentage of expenditure"
"Albania","Government expenditure on health","Sector: Local government",1995,0.584091707814136,"Percentage of GDP"
"Afghanistan","Government expenditure on health","Sector: Extrabudgetary central government",2014,2.99523001606207,"Percentage of expenditure"
"Angola","Government expenditure on health","Sector: Budgetary central government",2007,1.83628143963598,"Percentage of GDP"
"Albania","Government expenditure on health","Sector: Central government (incl. social security funds)",2013,2.79813534631179,"Percentage of GDP"
"Afghanistan","Government expenditure on health","Sector: Budgetary central government",2006,4.223653871303,"Percentage of expenditure"
"Albania","Government expenditure on health","Sector: Budgetary central government",1997,1.18734987335634,"Percentage of GDP"
"Angola","Government expenditure on health","Sector: Budgetary central government",2013,6.0421245734925,"Percentage of expenditure"
"Afghanistan","Government expenditure on health","Sector: Central government (incl. social security funds)",2013,20321862458,"Domestic currency"
"Angola","Government expenditure on health","Sector: Budgetary central government",2011,4.95863570799167,"Percentage of expenditure"
"Angola","Government expenditure on health","Sector: Budgetary central government",2000,1.58791410442156,"Percentage of GDP"
"Albania","Government expenditure on health","Sector: General government",2008,7.60096205034124,"Percentage of expenditure"
"Afghanistan","Government expenditure on health","Sector: Local government",2008,0,"Percentage of expenditure"
"Afghanistan","Government expenditure on health","Sector: Local government",2012,0,"Domestic currency"
"Afghanistan","Government expenditure on health","Sector: Budgetary central government",2004,4.98816043789973,"Percentage of expenditure"
"Albania","Government expenditure on health","Sector: Central government (excl. social security)",2012,2.32726847613142,"Percentage of GDP"
"Albania","Government expenditure on health","Sector: Budgetary central government",1996,5.94333929899707,"Percentage of expenditure"
"Angola","Government expenditure on health","Sector: Budgetary central government",2012,1.74314007774984,"Percentage of GDP"
"Angola","Government expenditure on health","Sector: Budgetary central government",2013,2.40626687751595,"Percentage of GDP"
"Afghanistan","Government expenditure on health","Sector: Budgetary central government",2007,3.80321410721353,"Percentage of expenditure"
"Albania","Government expenditure on health","Sector: Local government",2013,0.0032687614412406,"Percentage of GDP"
"Albania","Government expenditure on health","Sector: Central government (incl. social security funds)",1997,3933978000,"Domestic currency"
"Afghanistan","Government expenditure on health","Sector: Local government",2012,0,"Percentage of GDP"
"Albania","Government expenditure on health","Sector: Local government",1995,1.562e+09,"Domestic currency"
"Albania","Government expenditure on health","Sector: Social security funds",2011,14.1471866542845,"Percentage of expenditure"
"Angola","Government expenditure on health","Sector: Budgetary central government",2002,9270853488,"Domestic currency"
"Afghanistan","Government expenditure on health","Sector: Local government",2013,0,"Domestic currency"
"Afghanistan","Government expenditure on health","Sector: Budgetary central government",2003,3.96441801163765,"Percentage of expenditure"
"Angola","Government expenditure on health","Sector: Budgetary central government",2003,1.64106016152094,"Percentage of GDP"
"Afghanistan","Government expenditure on health","Sector: Local government",2011,0,"Percentage of GDP"
"Afghanistan","Government expenditure on health","Sector: Budgetary central government",2005,4.2357985778084,"Percentage of expenditure"
