"REF_AREA_LABEL","INDICATOR_LABEL","TIME_PERIOD","Sector: Local government_Percentage of GDP","Sector: Central government (incl. social security funds)_Domestic currency","Sector: Central government (excl. social security)_Domestic currency","Sector: Budgetary central government_Percentage of expenditure","Sector: Local government_Domestic currency","Sector: Budgetary central government_Domestic currency","Sector: Extrabudgetary central government_Domestic currency","Sector: Central government (incl. social security funds)_Percentage of expenditure","Sector: Central government (incl. social security funds)_Percentage of GDP","Sector: General government_Percentage of expenditure","Sector: Local government_Percentage of expenditure","Sector: Extrabudgetary central government_Percentage of expenditure","Sector: Budgetary central government_Percentage of GDP","Sector: Central government (excl. social security)_Percentage of GDP","Sector: Social security funds_Percentage of expenditure","Sector: General government_Domestic currency","Sector: Social security funds_Percentage of GDP","Sector: General government_Percentage of GDP","Sector: Central government (excl. social security)_Percentage of expenditure","Sector: Extrabudgetary central government_Percentage of GDP","Sector: Social security funds_Domestic currency","Sector: State governments_Percentage of expenditure","Sector: State governments_Domestic currency","Sector: State governments_Percentage of GDP"
"Albania","Government expenditure on health",2012,0.0066303474919227,3.7414e+10,31018090000,10.0418224602005,88370000,31018090000,NA,10.2439438028206,2.80714972346721,9.86364261045901,0.176313603182064,NA,2.32726847613142,2.32726847613142,14.667889390412,37414780000,1.15891526436984,2.80720824639404,10.0418224602005,NA,15446150000,NA,NA,NA
"Afghanistan","Government expenditure on health",2009,0,13496776748.4542,13496776748.4542,4.25776118410865,0,5565743621.77,7931033126.68422,3.01105148425388,2.22269035976789,2.99976620035497,0,2.4924710600052,0.91658363501231,2.22269035976789,NA,13496776748.4542,NA,2.22269035976789,3.01105148425388,1.30610672475558,NA,NA,NA,NA
"Albania","Government expenditure on health",1997,0.559885679843998,3933978000,NA,5.09395611158053,1855037000,3933978000,NA,4.04059010118499,1.18734987335634,NA,9.32215186552891,NA,1.18734987335634,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA
"Afghanistan","Government expenditure on health",2006,0,4.797e+09,4.797e+09,4.223653871303,0,3289747459.74,1507205100,4.34043620162276,1.3871497492116,4.31095810530298,0,4.37792738974408,0.951297136491105,1.3871497492116,NA,4.797e+09,NA,1.3871497492116,4.34043620162276,0.435838894408055,NA,NA,NA,NA
"Afghanistan","Government expenditure on health",2008,0,11971639261.17,11971639261.17,4.59438586243517,0,5017288453.31,6954350807.86,2.57302582445237,2.31331858424625,2.56499195802473,0,1.9417984652842,0.969506879413926,2.31331858424625,NA,11971639261.17,NA,2.31331858424625,2.57302582445237,1.34381170483233,NA,NA,NA,NA
"Afghanistan","Government expenditure on health",2014,0,24836096649.0178,24836096649.0178,4.27228273700331,0,12897525083.9,11938571565.1178,3.53929806239456,2.09934704917945,3.53929806239456,0,2.99523001606207,1.09020276451832,2.09934704917945,NA,24836096649.0178,NA,2.09934704917945,3.54579440437681,1.00914428466113,NA,NA,NA,NA
"Afghanistan","Government expenditure on health",2005,NA,NA,NA,4.2357985778084,NA,2202688343.61,NA,NA,NA,NA,NA,NA,0.722367320516705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania","Government expenditure on health",1996,0.535502059024753,3809690000,NA,5.94333929899707,1790500000,3809690000,0,4.57748623025759,1.13940063627256,NA,8.7152215567026,NA,1.13940063627256,NA,0,NA,0,NA,NA,0,0,NA,NA,NA
"Angola","Government expenditure on health",1999,NA,NA,NA,3.85426702231139,NA,249675892.4,NA,NA,NA,NA,NA,NA,1.18882064795217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola","Government expenditure on health",2005,NA,NA,NA,4.99832203877745,NA,38233614788,NA,NA,NA,NA,NA,NA,1.18651267111725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
