"yr","country","beds","physicians","population","health_spend","mortality"
2024,"Albania",28.9,0,2714617,0,0
2021,"Albania",28.9,0,2811666,90147130000,92.1235
2019,"Albania",28.9,1.651,2854191,76283320000,58.1055
2024,"Algeria",19,0,46814308,0,0
2021,"Algeria",19,0,44761099,0,79.891
2019,"Algeria",19,0.987,43294546,0,81.359
2024,"Argentina",49.9,0,45696159,0,0
2021,"Argentina",49.9,0,45312281,112573500716.47,119.058
2019,"Argentina",49.5,4.0685,44973465,58584777330.97,103.3665
2024,"Armenia",42,0,3033500,0,0
2021,"Armenia",42,0,2962300,160481086557,172.204
2019,"Armenia",42,3.117,2962500,100409431636.8,117.412
2024,"Australia",38.4,0,27204809,0,0
2021,"Australia",38.4,3.981,25685412,2.60261e+11,0
2019,"Australia",38.4,3.827,25334826,2.20997e+11,58.792
2024,"Austria",72.7,0,9178482,0,0
2021,"Austria",72.7,5.43,8955797,86856580000,0
2019,"Austria",74.2,5.291,8879920,71601670000,58.2205
2024,"Azerbaijan",48.2,0,10202850,0,0
2021,"Azerbaijan",48.2,0,10137750,1399600000,193.261
2019,"Azerbaijan",48.2,3.111,10024283,935520000,128.448
2024,"Bahrain",17.4,0,1588670,0,0
2021,"Bahrain",17.4,0,1504365,0,57.103
2019,"Bahrain",18.9,0,1483756,0,53.498
2024,"Bangladesh",7.9,0,173562364,0,0
2021,"Bangladesh",7.9,0.67,167658854,0,142.1855
2019,"Bangladesh",7.9,0.627,164913055,0,123.8315
2024,"Barbados",59.7,0,282467,0,0
2021,"Barbados",59.7,2.881,282147,0,104.496
2019,"Barbados",58.9,0,281207,0,106.3615
2024,"Belgium",55.8,0,11876844,0,0
2021,"Belgium",55.8,3.241,11586195,85500900000,63.9425
2019,"Belgium",56.6,3.157,11488980,71921200000,62.357
2024,"Benin",5,0,14462724,0,0
2021,"Benin",5,0.212,13413417,0,275.907
2019,"Benin",5,0.062,12726755,0,261.276
2024,"Bolivia",12.9,0,12413315,0,0
2021,"Bolivia",12.9,1.269,11937360,0,272.9545
2019,"Bolivia",12.7,1.078,11671386,0,188.8755
2024,"Bosnia and Herzegovina",34.9,0,3164253,0,0
2021,"Bosnia and Herzegovina",34.9,0,3244907,0,84.337
2019,"Bosnia and Herzegovina",34.9,2.318,3345533,0,68.4775
2024,"Botswana",18,0,2521139,0,0
2021,"Botswana",18,0.392,2401441,0,344.635
2019,"Botswana",18,0.368,2332083,0,255.325
2024,"Brazil",20.9,0,211998573,0,0
2021,"Brazil",20.9,2.142,209550294,0,169.4735
2019,"Brazil",21.1,2.303,207455459,0,118.5195
2024,"Bulgaria",74.5,0,6444366,0,0
2021,"Bulgaria",74.5,4.29,6507301,15454532000,176.348
2019,"Bulgaria",72.7,4.19,6616726,10550622000,131.9235
2024,"Cambodia",9,0,17638801,0,0
2021,"Cambodia",9,0,16974305,0,178.515
2019,"Cambodia",9,0.214,16481304,0,165.464
2024,"Cameroon",13,0,29123744,0,0
2021,"Cameroon",13,0.124,26915758,0,310.391
2019,"Cameroon",13,0,25506095,0,282.778
2024,"Canada",25.2,0,41288599,0,0
2021,"Canada",25.2,2.464,38239864,2.30612e+11,77.6855
2019,"Canada",25.3,2.435,37618495,1.88187e+11,66.2015
2024,"Chile",20.6,0,19764771,0,0
2021,"Chile",20.6,2.973,19456334,0,97.4045
2019,"Chile",21.2,2.649,19197744,0,81.857
2024,"China",43.1,0,1408975000,0,0
2021,"China",43.1,2.518,1412360000,7801934390000,80.538
2019,"China",40.2,2.258,1407745000,6641715630000,83.5985
2024,"Colombia",17.1,0,52886363,0,0
2021,"Colombia",17.1,2.451,51188173,0,161.6615
2019,"Colombia",16.8,2.304,49907985,0,107.8995
