"yr","country","beds","physicians","population","health_spend","mortality"
2024,"Albania",2.89,0,2.714617,0,0
2021,"Albania",2.89,0,2.811666,90147.13,92.1235
2019,"Albania",2.89,1.651,2.854191,76283.32,58.1055
2024,"Algeria",1.9,0,46.814308,0,0
2021,"Algeria",1.9,0,44.761099,0,79.891
2019,"Algeria",1.9,0.987,43.294546,0,81.359
2024,"Argentina",4.99,0,45.696159,0,0
2021,"Argentina",4.99,0,45.312281,112573.50071647,119.058
2019,"Argentina",4.95,4.0685,44.973465,58584.77733097,103.3665
2024,"Armenia",4.2,0,3.0335,0,0
2021,"Armenia",4.2,0,2.9623,160481.086557,172.204
2019,"Armenia",4.2,3.117,2.9625,100409.4316368,117.412
2024,"Australia",3.84,0,27.204809,0,0
2021,"Australia",3.84,3.981,25.685412,260261,0
2019,"Australia",3.84,3.827,25.334826,220997,58.792
2024,"Austria",7.27,0,9.178482,0,0
2021,"Austria",7.27,5.43,8.955797,86856.58,0
2019,"Austria",7.42,5.291,8.87992,71601.67,58.2205
2024,"Azerbaijan",4.82,0,10.20285,0,0
2021,"Azerbaijan",4.82,0,10.13775,1399.6,193.261
2019,"Azerbaijan",4.82,3.111,10.024283,935.52,128.448
2024,"Bahrain",1.74,0,1.58867,0,0
2021,"Bahrain",1.74,0,1.504365,0,57.103
2019,"Bahrain",1.89,0,1.483756,0,53.498
2024,"Bangladesh",0.79,0,173.562364,0,0
2021,"Bangladesh",0.79,0.67,167.658854,0,142.1855
2019,"Bangladesh",0.79,0.627,164.913055,0,123.8315
2024,"Barbados",5.97,0,0.282467,0,0
2021,"Barbados",5.97,2.881,0.282147,0,104.496
2019,"Barbados",5.89,0,0.281207,0,106.3615
2024,"Belgium",5.58,0,11.876844,0,0
2021,"Belgium",5.58,3.241,11.586195,85500.9,63.9425
2019,"Belgium",5.66,3.157,11.48898,71921.2,62.357
2024,"Benin",0.5,0,14.462724,0,0
2021,"Benin",0.5,0.212,13.413417,0,275.907
2019,"Benin",0.5,0.062,12.726755,0,261.276
2024,"Bolivia",1.29,0,12.413315,0,0
2021,"Bolivia",1.29,1.269,11.93736,0,272.9545
2019,"Bolivia",1.27,1.078,11.671386,0,188.8755
2024,"Bosnia and Herzegovina",3.49,0,3.164253,0,0
2021,"Bosnia and Herzegovina",3.49,0,3.244907,0,84.337
2019,"Bosnia and Herzegovina",3.49,2.318,3.345533,0,68.4775
2024,"Botswana",1.8,0,2.521139,0,0
2021,"Botswana",1.8,0.392,2.401441,0,344.635
2019,"Botswana",1.8,0.368,2.332083,0,255.325
2024,"Brazil",2.09,0,211.998573,0,0
2021,"Brazil",2.09,2.142,209.550294,0,169.4735
2019,"Brazil",2.11,2.303,207.455459,0,118.5195
